Entity,Code,Year,Biofuels Production - PJ - Total
Africa,,1990,0.26084595959596
Africa,,1991,0.26084595959596
Africa,,1992,0.261560606060606
Africa,,1993,0.26084595959596
Africa,,1994,0.26084595959596
Africa,,1995,0.26084595959596
Africa,,1996,0.261560606060606
Africa,,1997,0.3912689393939389
Africa,,1998,0.3912689393939389
Africa,,1999,0.26084595959596
Africa,,2000,0.261560606060606
Africa,,2001,0.26084595959596
Africa,,2002,1.28361152046471
Africa,,2003,1.8047996163508897
Africa,,2004,2.07661050532141
Africa,,2005,2.2669291590201297
Africa,,2006,2.40684422549608
Africa,,2007,2.530482380259
Africa,,2008,2.01703073361703
Africa,,2009,11.9682173503302
Africa,,2010,12.515008979774999
Africa,,2011,13.607732020065301
Africa,,2012,9.70448003361409
Africa,,2013,9.917397476444311
Africa,,2014,11.054958500985801
Africa,,2015,14.963371580848401
Africa,,2016,16.322805857995903
Africa,,2017,17.0094479918106
Africa,,2018,19.5631746949175
Africa,,2019,20.850503356174702
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.191541725601132
Argentina,ARG,2001,0.382036775106082
Argentina,ARG,2002,0.382036775106082
Argentina,ARG,2003,0.382036775106082
Argentina,ARG,2004,0.38308345120226295
Argentina,ARG,2005,0.382036775106082
Argentina,ARG,2006,1.27653330511623
Argentina,ARG,2007,7.24902753239394
Argentina,ARG,2008,25.6181092657406
Argentina,ARG,2009,43.07431498078179
Argentina,ARG,2010,71.6181992218944
Argentina,ARG,2011,93.04133578421178
Argentina,ARG,2012,95.4091345096051
Argentina,ARG,2013,85.8192663865104
Argentina,ARG,2014,110.103926041544
Argentina,ARG,2015,84.46264034530469
Argentina,ARG,2016,117.965823528226
Argentina,ARG,2017,130.434732764101
Argentina,ARG,2018,114.132343236337
Argentina,ARG,2019,102.78010371026
Asia Pacific,,1990,0
Asia Pacific,,1991,0
Asia Pacific,,1992,0
Asia Pacific,,1993,0
Asia Pacific,,1994,0
Asia Pacific,,1995,0
Asia Pacific,,1996,0
Asia Pacific,,1997,0
Asia Pacific,,1998,0
Asia Pacific,,1999,0
Asia Pacific,,2000,3.79262878787879
Asia Pacific,,2001,4.1037077814924405
Asia Pacific,,2002,10.923906408498
Asia Pacific,,2003,24.741272387374302
