Entity,Code,Year,Wind (TWh – sub method)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.005555560000000001
Africa,,1994,0.015000012000000002
Africa,,1995,0.017500014
Africa,,1996,0.019722238
Africa,,1997,0.020000016000000002
Africa,,1998,0.021111128000000003
Africa,,1999,0.055000044
Africa,,2000,0.48888928000000004
Africa,,2001,1.148273696396
Africa,,2002,1.219021530772
Africa,,2003,1.4744214573140002
Africa,,2004,2.08244888818
Africa,,2005,2.104510572496
Africa,,2006,2.278872100874
Africa,,2007,2.6993454928080003
Africa,,2008,3.463826937726
Africa,,2009,4.170593892028
Africa,,2010,5.95569504233
Africa,,2011,6.575773593948001
Africa,,2012,7.628707769628001
Africa,,2013,9.113912846680002
Africa,,2014,13.126967168232003
Africa,,2015,22.485266043754
Africa,,2016,28.431820245438004
Africa,,2017,31.145472694136
Africa,,2018,35.510630908482
Africa,,2019,43.353763016316
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.00254491314704
Algeria,DZA,2015,0.048065594008
Algeria,DZA,2016,0.047911982774
Algeria,DZA,2017,0.04750003800000001
Algeria,DZA,2018,0.024853825438600003
Algeria,DZA,2019,0.0247621864764
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.026716688040000002
Argentina,ARG,1997,0.04053336576000001
Argentina,ARG,1998,0.09039173898
Argentina,ARG,1999,0.09661396618000001
Argentina,ARG,2000,0.09655007724
Argentina,ARG,2001,0.13622372009
Argentina,ARG,2002,0.201271827684
Argentina,ARG,2003,0.21237489212199998
Argentina,ARG,2004,0.19611182355600001
Argentina,ARG,2005,0.19291709877800003
Argentina,ARG,2006,0.18614487113800005
Argentina,ARG,2007,0.16360651977400004
Argentina,ARG,2008,0.110740644148
Argentina,ARG,2009,0.09662591063400001
Argentina,ARG,2010,0.06610088621400001
Argentina,ARG,2011,0.06890838846
Argentina,ARG,2012,0.9526754843620002
Argentina,ARG,2013,1.1606987063360001
Argentina,ARG,2014,1.5765501501280001
Argentina,ARG,2015,1.5009973119080002
Argentina,ARG,2016,1.37649554564
Argentina,ARG,2017,1.5289187231340002
Argentina,ARG,2018,3.511206142296
Argentina,ARG,2019,12.371104341320002
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.005555560000000001
Australia,AUS,1994,0.015277790000000001
Australia,AUS,1995,0.01944446
Australia,AUS,1996,0.01944446
Australia,AUS,1997,0.02083335
Australia,AUS,1998,0.05000004000000001
Australia,AUS,1999,0.11944454
Australia,AUS,2000,0.37222252000000006
Australia,AUS,2001,0.7920461891920001
Australia,AUS,2002,1.4629608925900002
Australia,AUS,2003,1.918086534468
Australia,AUS,2004,2.152071721656
Australia,AUS,2005,3.494282795424
Australia,AUS,2006,5.779202678914
Australia,AUS,2007,7.575896616268001
Australia,AUS,2008,9.129456192448
Australia,AUS,2009,11.642254591574
Australia,AUS,2010,12.997709842604
Australia,AUS,2011,16.668306112412
Australia,AUS,2012,19.897743140404
Australia,AUS,2013,23.705290075328
Australia,AUS,2014,24.881606849714004
Australia,AUS,2015,29.948530903250003
Australia,AUS,2016,32.758702873608
Australia,AUS,2017,32.988095001566
Australia,AUS,2018,40.788867075512
Australia,AUS,2019,48.34683312188
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.0027777800000000005
Austria,AUT,1996,0.013888900000000001
