Entity,Code,Year,Renewables (TWh – sub method)
Africa,,1965,38.626795345856
Africa,,1966,43.083379188898
Africa,,1967,44.974025979192
Africa,,1968,52.606543751868
Africa,,1969,61.39140911308801
Africa,,1970,76.75125528984401
Africa,,1971,72.715032894202
Africa,,1972,82.772833995992
Africa,,1973,87.543702257128
Africa,,1974,99.56139714905399
Africa,,1975,105.2500008666
Africa,,1976,116.61851885029601
Africa,,1977,128.105013872818
Africa,,1978,129.17215528208604
Africa,,1979,138.23964670274
Africa,,1980,134.774508930632
Africa,,1981,140.030406746458
Africa,,1982,140.11743737163803
Africa,,1983,126.32554578257802
Africa,,1984,124.233358553274
Africa,,1985,138.10756909707803
Africa,,1986,143.901152065274
Africa,,1987,138.095833532134
Africa,,1988,150.60972159879202
Africa,,1989,158.036834207144
Africa,,1990,161.16788004531205
Africa,,1991,170.665382087752
Africa,,1992,163.01274624342602
Africa,,1993,160.000703833794
Africa,,1994,162.28470927210805
Africa,,1995,168.87757093528202
Africa,,1996,176.62139629700403
Africa,,1997,181.24552832964
Africa,,1998,189.93636639341602
Africa,,1999,201.111788944858
Africa,,2000,215.844674897824
Africa,,2001,230.802526586318
Africa,,2002,241.10385316070605
Africa,,2003,234.45642145387598
Africa,,2004,246.842121640206
Africa,,2005,249.87677740126202
Africa,,2006,259.03387306026605
Africa,,2007,264.448409058558
Africa,,2008,268.776865854654
Africa,,2009,275.52543514239403
Africa,,2010,296.6383806438481
Africa,,2011,304.20169058338
Africa,,2012,305.408807382406
Africa,,2013,323.9148796872521
Africa,,2014,347.00412149196404
Africa,,2015,353.209162289326
Africa,,2016,350.67453998385196
Africa,,2017,377.7118963359421
Africa,,2018,404.90293642209
Africa,,2019,441.25643939375806
Algeria,DZA,1965,1.111112
Algeria,DZA,1966,0.9861119000000002
Algeria,DZA,1967,1.1388898000000003
Algeria,DZA,1968,1.56389014
Algeria,DZA,1969,1.00277858
Algeria,DZA,1970,1.6111124000000001
Algeria,DZA,1971,0.9166674
Algeria,DZA,1972,1.3750011000000002
Algeria,DZA,1973,2.0888905600000003
Algeria,DZA,1974,1.3805566600000003
Algeria,DZA,1975,0.91111184
Algeria,DZA,1976,1.08055642
Algeria,DZA,1977,0.74722282
Algeria,DZA,1978,0.6944450000000001
Algeria,DZA,1979,0.8083339800000001
Algeria,DZA,1980,0.71388946
Algeria,DZA,1981,1.0166674800000002
Algeria,DZA,1982,1.33055662
Algeria,DZA,1983,0.6527783
Algeria,DZA,1984,1.2555565600000003
Algeria,DZA,1985,1.79444588
Algeria,DZA,1986,0.6944450000000001
Algeria,DZA,1987,1.38611222
Algeria,DZA,1988,0.5083337400000001
Algeria,DZA,1989,0.6277782800000001
Algeria,DZA,1990,0.37500030000000006
Algeria,DZA,1991,0.81388954
Algeria,DZA,1992,0.5527782200000001
Algeria,DZA,1993,0.98055634
Algeria,DZA,1994,0.4611114800000001
Algeria,DZA,1995,0.53611154
Algeria,DZA,1996,0.37500030000000006
Algeria,DZA,1997,0.20833350000000003
Algeria,DZA,1998,0.5972227
Algeria,DZA,1999,0.5638893400000001
Algeria,DZA,2000,0.15000012000000001
Algeria,DZA,2001,0.190422096782
Algeria,DZA,2002,0.15629040281
Algeria,DZA,2003,0.721955577564
Algeria,DZA,2004,0.679459154678
Algeria,DZA,2005,1.493687861616
Algeria,DZA,2006,0.5816357430860001
Algeria,DZA,2007,0.60031298025
Algeria,DZA,2008,0.7470503198620002
Algeria,DZA,2009,0.89722294
Algeria,DZA,2010,0.4748009909516
Algeria,DZA,2011,1.026528043444
Algeria,DZA,2012,1.070802523308
Algeria,DZA,2013,0.326686928016
Algeria,DZA,2014,0.6464079282370401
Algeria,DZA,2015,0.5616076715080001
Algeria,DZA,2016,0.8451017871920001
Algeria,DZA,2017,1.4475011580000001
Algeria,DZA,2018,1.8143288681286005
Algeria,DZA,2019,1.9227834271144004
Argentina,ARG,1965,3.4027805000000004
Argentina,ARG,1966,3.44722498
Argentina,ARG,1967,3.53055838
Argentina,ARG,1968,4.16111444
Argentina,ARG,1969,3.7333363200000003
Argentina,ARG,1970,4.451506338980001
Argentina,ARG,1971,4.4274052085880005
Argentina,ARG,1972,4.3565401518960005
Argentina,ARG,1973,8.452902317872
Argentina,ARG,1974,14.105754895706
Argentina,ARG,1975,14.599796679828001
Argentina,ARG,1976,14.064463473784002
Argentina,ARG,1977,16.166277099678002
Argentina,ARG,1978,21.683730402526002
Argentina,ARG,1979,29.845562209764005
Argentina,ARG,1980,42.30628828944801
Argentina,ARG,1981,40.99926196605
Argentina,ARG,1982,49.13590736425001
Argentina,ARG,1983,51.54536012514401
Argentina,ARG,1984,55.49280217198401
Argentina,ARG,1985,57.63705055404801
Argentina,ARG,1986,58.655821646842
Argentina,ARG,1987,60.969928775904
Argentina,ARG,1988,42.09480034248
Argentina,ARG,1989,36.345520465282
Argentina,ARG,1990,49.952160239474004
Argentina,ARG,1991,45.335037379112
Argentina,ARG,1992,55.224810846480004
Argentina,ARG,1993,65.73036675091801
Argentina,ARG,1994,78.03361214906201
Argentina,ARG,1995,79.371490441586
Argentina,ARG,1996,73.07282873599401
Argentina,ARG,1997,93.02836220040803
Argentina,ARG,1998,91.43959287383801
Argentina,ARG,1999,75.59820714518399
Argentina,ARG,2000,96.510683875152
Argentina,ARG,2001,117.46013819247983
Argentina,ARG,2002,116.23279769033041
Argentina,ARG,2003,109.443525749195
Argentina,ARG,2004,98.46930271037917
Argentina,ARG,2005,108.92910585627054
Argentina,ARG,2006,120.98113235093956
Argentina,ARG,2007,104.59898683467809
Argentina,ARG,2008,102.77783544442481
Argentina,ARG,2009,111.62467029160925
Argentina,ARG,2010,116.98837463701372
Argentina,ARG,2011,117.27712192440028
Argentina,ARG,2012,113.15453870133635
Argentina,ARG,2013,123.75209979604509
Argentina,ARG,2014,125.58155036793771
Argentina,ARG,2015,128.61946168715372
Argentina,ARG,2016,118.89052590956689
Argentina,ARG,2017,130.17093356999686
Argentina,ARG,2018,131.43132278664078
Argentina,ARG,2019,130.3950905243223
Australia,AUS,1965,22.182673301680005
Australia,AUS,1966,21.191802508984
Australia,AUS,1967,21.932760323972
Australia,AUS,1968,22.868075516668004
Australia,AUS,1969,24.903133811380005
Australia,AUS,1970,28.976931514860002
Australia,AUS,1971,32.695700600984004
Australia,AUS,1972,32.870344074032005
Australia,AUS,1973,35.066248052976
Australia,AUS,1974,39.730365673156
Australia,AUS,1975,42.71337194844801
Australia,AUS,1976,40.66075141746401
Australia,AUS,1977,38.813781606556
Australia,AUS,1978,41.889892956332005
Australia,AUS,1979,40.733520364567994
Australia,AUS,1980,38.47669133688401
Australia,AUS,1981,39.639875600764
Australia,AUS,1982,36.90651285852
Australia,AUS,1983,34.87405012144
Australia,AUS,1984,37.685999037664004
Australia,AUS,1985,39.99033921446801
Australia,AUS,1986,40.238362190664
Australia,AUS,1987,39.12168685288
Australia,AUS,1988,41.848487923208005
Australia,AUS,1989,41.84355847482
Australia,AUS,1990,43.108367820000005
Australia,AUS,1991,45.495730841000004
Australia,AUS,1992,46.17670360800001
Australia,AUS,1993,47.42670460800001
Australia,AUS,1994,46.85948193200001
Australia,AUS,1995,45.790731077000004
Australia,AUS,1996,47.076704328
Australia,AUS,1997,47.187954417
Australia,AUS,1998,47.03503762800001
Australia,AUS,1999,48.60726110800001
Australia,AUS,2000,48.713233415000005
Australia,AUS,2001,47.639088389018006
Australia,AUS,2002,49.22778938220001
Australia,AUS,2003,50.86273319015401
Australia,AUS,2004,52.434349169668
Australia,AUS,2005,55.81366344228392
Australia,AUS,2006,57.445071813798464
Australia,AUS,2007,57.50301757459948
Australia,AUS,2008,59.09455071171387
Australia,AUS,2009,65.57820639585648
Australia,AUS,2010,76.91372298092917
Australia,AUS,2011,99.57821395417412
Australia,AUS,2012,95.97738505129108
Australia,AUS,2013,108.02843130045369
Australia,AUS,2014,99.73584888028195
Australia,AUS,2015,105.44947607618005
Australia,AUS,2016,117.76611669059577
Australia,AUS,2017,112.28687220164812
Australia,AUS,2018,139.12630839540213
Australia,AUS,2019,152.52992506550908
Austria,AUT,1965,44.675035740000006
Austria,AUT,1966,48.14170518
Austria,AUT,1967,49.16115044
Austria,AUT,1968,50.51392930000001
Austria,AUT,1969,46.438926040000005
Austria,AUT,1970,59.138102866
Austria,AUT,1971,46.722537378
Austria,AUT,1972,48.021149528
Austria,AUT,1973,53.35893157600001
Austria,AUT,1974,63.089494916
Austria,AUT,1975,66.097830656
Austria,AUT,1976,57.12671236800001
Austria,AUT,1977,69.224499824
Austria,AUT,1978,69.280055424
Austria,AUT,1979,78.04672910400001
Austria,AUT,1980,80.860898022
Austria,AUT,1981,85.687012994
Austria,AUT,1982,85.823124214
Austria,AUT,1983,85.01756801400002
Austria,AUT,1984,74.58218188792
Austria,AUT,1985,85.48658505588
Austria,AUT,1986,89.42070486984001
Austria,AUT,1987,100.81621120846
Austria,AUT,1988,100.97521411344002
Austria,AUT,1989,100.51919152640001
Austria,AUT,1990,90.77242069371181
Austria,AUT,1991,90.82982942158318
Austria,AUT,1992,100.58401222047874
Austria,AUT,1993,105.84786338072297
Austria,AUT,1994,102.62652450809837
Austria,AUT,1995,108.26032279596673
Austria,AUT,1996,99.60532140863783
Austria,AUT,1997,105.25990833591487
Austria,AUT,1998,108.63686896664788
Austria,AUT,1999,117.8198278871758
Austria,AUT,2000,120.84784842736808
Austria,AUT,2001,116.96499026275069
Austria,AUT,2002,115.28511710857548
Austria,AUT,2003,96.43530681373927
Austria,AUT,2004,107.89006366948188
Austria,AUT,2005,110.92001012482602
Austria,AUT,2006,112.102719404326
Austria,AUT,2007,118.6539094508294
Austria,AUT,2008,122.76943857658343
Austria,AUT,2009,129.9101395391396
Austria,AUT,2010,123.26900417068
Austria,AUT,2011,111.92253584351262
Austria,AUT,2012,137.866106265019
Austria,AUT,2013,134.30247796967421
Austria,AUT,2014,133.69192809234582
Austria,AUT,2015,127.4902972977118
Austria,AUT,2016,134.3398181939908
Austria,AUT,2017,133.24152931536042
Austria,AUT,2018,130.02286562932042
Austria,AUT,2019,140.41091718975503
Azerbaijan,AZE,1985,3.6460079168040003
Azerbaijan,AZE,1986,2.2342540096240002
Azerbaijan,AZE,1987,2.2342540096240002
Azerbaijan,AZE,1988,1.939627107256
Azerbaijan,AZE,1989,1.939627107256
Azerbaijan,AZE,1990,4.605559240000001
Azerbaijan,AZE,1991,4.886948354
Azerbaijan,AZE,1992,4.853614994
Azerbaijan,AZE,1993,6.73889428
Azerbaijan,AZE,1994,5.0833374000000005
Azerbaijan,AZE,1995,4.32222568
Azerbaijan,AZE,1996,4.26944786
Azerbaijan,AZE,1997,4.75555936
Azerbaijan,AZE,1998,5.419448780000001
Azerbaijan,AZE,1999,4.18333668
Azerbaijan,AZE,2000,4.2611145200000005
Azerbaijan,AZE,2001,3.5904248167820003
Azerbaijan,AZE,2002,5.53871415319
Azerbaijan,AZE,2003,6.729172050000001
Azerbaijan,AZE,2004,7.4578084662420006
Azerbaijan,AZE,2005,8.094911475924
Azerbaijan,AZE,2006,6.730508439958
Azerbaijan,AZE,2007,6.279380023500001
Azerbaijan,AZE,2008,5.891930269096001
Azerbaijan,AZE,2009,6.0615018769754005
Azerbaijan,AZE,2010,8.9870625368665
Azerbaijan,AZE,2011,6.9342433251680005
Azerbaijan,AZE,2012,4.6904581968080015
Azerbaijan,AZE,2013,3.9880904071364407
Azerbaijan,AZE,2014,3.542263333808401
Azerbaijan,AZE,2015,4.395717627682401
Azerbaijan,AZE,2016,5.292762845318
Azerbaijan,AZE,2017,4.7271287817
Azerbaijan,AZE,2018,4.89747058464
Azerbaijan,AZE,2019,4.516980002470001
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0.48611150000000003
Bangladesh,BGD,1973,0.9194451800000001
Bangladesh,BGD,1974,0.67500054
Bangladesh,BGD,1975,1.2111120800000001
Bangladesh,BGD,1976,1.37222332
Bangladesh,BGD,1977,1.2138898600000003
Bangladesh,BGD,1978,1.4055566800000001
Bangladesh,BGD,1979,1.6305568600000002
Bangladesh,BGD,1980,1.6194457400000002
Bangladesh,BGD,1981,1.7361125000000002
Bangladesh,BGD,1982,1.45277894
Bangladesh,BGD,1983,1.8388903600000002
Bangladesh,BGD,1984,2.49166866
Bangladesh,BGD,1985,2.0527794200000002
Bangladesh,BGD,1986,1.250001
Bangladesh,BGD,1987,1.43611226
Bangladesh,BGD,1988,1.8750015000000002
Bangladesh,BGD,1989,2.5555576
Bangladesh,BGD,1990,2.45555752
Bangladesh,BGD,1991,2.32777964
Bangladesh,BGD,1992,2.2111128800000004
Bangladesh,BGD,1993,1.6888902399999999
Bangladesh,BGD,1994,2.3527796600000004
Bangladesh,BGD,1995,1.0333341600000001
Bangladesh,BGD,1996,2.0527794200000002
Bangladesh,BGD,1997,1.99722382
Bangladesh,BGD,1998,2.4027797
Bangladesh,BGD,1999,2.3138907399999997
Bangladesh,BGD,2000,2.08055722
Bangladesh,BGD,2001,2.740424136782
Bangladesh,BGD,2002,2.0539855590204663
Bangladesh,BGD,2003,2.04299855661976
Bangladesh,BGD,2004,2.0326927094862
Bangladesh,BGD,2005,2.0238624801998
Bangladesh,BGD,2006,2.0207561999370003
Bangladesh,BGD,2007,2.0176892530390007
Bangladesh,BGD,2008,2.5555453777680004
Bangladesh,BGD,2009,1.1758343128889202
Bangladesh,BGD,2010,2.0347869611616
Bangladesh,BGD,2011,2.4320903067818
Bangladesh,BGD,2012,2.2589411960404004
Bangladesh,BGD,2013,2.2223311389746
Bangladesh,BGD,2014,1.8946779046300002
Bangladesh,BGD,2015,2.8047428271258
Bangladesh,BGD,2016,2.7916452055366006
Bangladesh,BGD,2017,3.291650411096
Bangladesh,BGD,2018,2.9229129772174
Bangladesh,BGD,2019,3.111487072521
Belarus,BLR,1985,0.055555600000000004
Belarus,BLR,1986,0.055555600000000004
Belarus,BLR,1987,0.055555600000000004
Belarus,BLR,1988,0.055555600000000004
Belarus,BLR,1989,0.055555600000000004
Belarus,BLR,1990,0.055555600000000004
Belarus,BLR,1991,0.05000004000000001
Belarus,BLR,1992,0.04722226
Belarus,BLR,1993,0.052777819999999996
Belarus,BLR,1994,0.052777819999999996
Belarus,BLR,1995,0.055555600000000004
Belarus,BLR,1996,0.04444448000000001
Belarus,BLR,1997,0.058333380000000004
Belarus,BLR,1998,0.07777784
Belarus,BLR,1999,0.052777819999999996
Belarus,BLR,2000,0.07500006000000001
Belarus,BLR,2001,0.08279228845600001
Belarus,BLR,2002,0.07951617472400001
Belarus,BLR,2003,0.07628200547000001
Belarus,BLR,2004,0.09206553476348
Belarus,BLR,2005,0.09952550739812001
Belarus,BLR,2006,0.10157228681331999
Belarus,BLR,2007,0.13281274513900002
Belarus,BLR,2008,0.19270185138358
Belarus,BLR,2009,0.27808673358032
Belarus,BLR,2010,0.33895735449900005
Belarus,BLR,2011,0.3653964312058
Belarus,BLR,2012,0.44560630092920006
Belarus,BLR,2013,0.5847595372517
Belarus,BLR,2014,0.536976401803
Belarus,BLR,2015,0.6400303175794001
Belarus,BLR,2016,0.842456507298
Belarus,BLR,2017,1.7425013940000003
Belarus,BLR,2018,1.615497959064
Belarus,BLR,2019,1.6442482598420005
Belgium,BEL,1965,0.75555616
Belgium,BEL,1966,0.8305562200000001
Belgium,BEL,1967,0.6611116400000001
Belgium,BEL,1968,0.67777832
Belgium,BEL,1969,0.6388894
Belgium,BEL,1970,0.6833338800000001
Belgium,BEL,1971,0.37222252000000006
Belgium,BEL,1972,0.5000004
Belgium,BEL,1973,0.7972228600000001
Belgium,BEL,1974,0.9666674399999999
Belgium,BEL,1975,0.7388894800000001
Belgium,BEL,1976,0.46111148
Belgium,BEL,1977,1.30833438
Belgium,BEL,1978,1.34166774
Belgium,BEL,1979,1.52500122
Belgium,BEL,1980,1.6055568400000002
